idx,date,code,company,title,target,opinion,analyst,broker
633688,2024-08-12,228850,레이언스,2Q24 Review: 매출처 다변화 추진 기대 레이언스(228850) 2Q24 Review: 매출처 다변화 추진 기대 2Q24 Review: 매출처 다변화 추진 기대,11000,Buy,박종선,유진투자증권
633682,2024-08-12,161890,한국콜마,2Q24 Review: 탄탄하다 한국콜마(161890) 2Q24 Review: 탄탄하다 2Q24 Review: 탄탄하다,85000,N/A,하누리,메리츠증권
633681,2024-08-12,114840,아이패밀리에스씨,2Q24 Review: 창창한 미래 아이패밀리에스씨(114840) 2Q24 Review: 창창한 미래 2Q24 Review: 창창한 미래,50000,Buy,하누리,메리츠증권
633680,2024-08-12,035420,NAVER,3 분기 DA 두 자릿수 성장 전망 NAVER(035420) 3 분기 DA 두 자릿수 성장 전망 3 분기 DA 두 자릿수 성장 전망,260000,Buy,"이효진,강하라",메리츠증권
633679,2024-08-12,011790,SKC,"2Q24 NDR 후기: 동박, 유리기판 SKC(011790) 2Q24 NDR 후기: 동박, 유리기판 2Q24 NDR 후기: 동박, 유리기판",145000,Buy,노우호,메리츠증권
633678,2024-08-12,036460,한국가스공사,2Q24 Review: 일회성 비용에서 벗어나다 한국가스공사(036460) 2Q24 Review: 일회성 비용에서 벗어나다 2Q24 Review: 일회성 비용에서 벗어나다,43000,Hold,"문경원,윤동준",메리츠증권
633677,2024-08-12,079160,CJ CGV,유기적 회복과 비유기적 성장 CJ CGV(079160) 유기적 회복과 비유기적 성장 유기적 회복과 비유기적 성장,9000,Buy,정지수,메리츠증권
633666,2024-08-12,039840,디오,Big Bath 이후 실적개선 및 주주환원 가속화 디오(039840) Big Bath 이후 실적개선 및 주주환원 가속화 Big Bath 이후 실적개선 및 주주환원 가속화,0,N/A,이상헌,하이투자증권
633665,2024-08-12,035420,NAVER,반가운 이익 서프라이즈 NAVER(035420) 반가운 이익 서프라이즈 반가운 이익 서프라이즈,220000,Buy,윤예지,하이투자증권
633664,2024-08-12,000120,CJ대한통운,하반기에도 안정적인 실적 개선 기대 CJ대한통운(000120) 하반기에도 안정적인 실적 개선 기대 하반기에도 안정적인 실적 개선 기대,145000,Buy,배세호,하이투자증권
633662,2024-08-12,000640,동아쏘시오홀딩스,CMO 성장 및 로열티 수익 본격화 동아쏘시오홀딩스(000640) CMO 성장 및 로열티 수익 본격화 CMO 성장 및 로열티 수익 본격화,155000,Buy,이상헌,하이투자증권
633661,2024-08-12,000640,동아쏘시오홀딩스,CMO 성장 및 로열티 수익 본격화 동아쏘시오홀딩스(000640) CMO 성장 및 로열티 수익 본격화 CMO 성장 및 로열티 수익 본격화,155000,Buy,이상헌,하이투자증권
633660,2024-08-09,064760,티씨케이,"2025년, Etching 기술 고도화 트렌드 재차 부각 티씨케이(064760) 2025년, Etching 기술 고도화 트렌드 재차 부각 2024/2025년 예상 영업이익 870억원, 1,210억원",140000,Buy,백길현,유안타증권
633659,2024-08-09,035720,카카오,다이어트 중 카카오(035720) 다이어트 중 2Q24 Review 하반기 전망,53000,Buy,이창영,유안타증권
633656,2024-08-09,206640,바디텍메드,차별화된 실적과 모멘텀의 진단키트 강자 바디텍메드(206640) 차별화된 실적과 모멘텀의 진단키트 강자 내년 반려동물 진단 시장 진출 하반기 중국 당뇨 진단키트 공급 시작,0,Not Rated,손현정,유안타증권
633651,2024-08-09,069960,현대백화점,2Q24 Review : 백화점에 주목할 시점. 우선 순위는 현대백화점 현대백화점(069960) 2Q24 Review : 백화점에 주목할 시점. 우선 순위는 현대백화점 2Q24 Review 엔저 흐름의 제동은 백화점에 긍정적,80000,Buy,이진협,한화투자증권
633650,2024-08-09,018880,한온시스템,"[2Q24 Review] 전동화 부진 장기화에 대한 고려 한온시스템(018880) [2Q24 Review] 전동화 부진 장기화에 대한 고려 매출액 컨센서스 부합, 영업이익 컨센서스 하회",7500,Buy,김성래,한화투자증권
633649,2024-08-09,161390,한국타이어앤테크놀로지,"[2Q24 Review] 유럽 OE/RE, 국내 RE 수요 대응 주효 한국타이어앤테크놀로지(161390) [2Q24 Review] 유럽 OE/RE, 국내 RE 수요 대응 주효 2Q 매출액 컨센서스 부합, 영업이익/순이익 컨센서스 상회",65000,Buy,김성래,한화투자증권
633648,2024-08-09,015760,한국전력,"[2Q24 Review] 점차 흐려질 이익개선 요인 한국전력(015760) [2Q24 Review] 점차 흐려질 이익개선 요인 2Q24 Review: 영업이익, 시장 컨센서스 14% 상회",27000,Buy,송유림,한화투자증권
633644,2024-08-09,011170,롯데케미칼,"일회성 손실을 감안하더라도 아쉬운 실적 롯데케미칼(011170) 일회성 손실을 감안하더라도 아쉬운 실적 일회성 손실을 감안하더라도 아쉬운 실적 다시 불확실성 커진 대외환경, 눈높이 낮출 필요",100000,Hold,윤용식,한화투자증권
633642,2024-08-09,018880,한온시스템,"먹구름 한온시스템(018880) 먹구름 2Q24 영업이익  지배주주 순이익, 컨센서스 -15%  -185% 하회",5000,Hold,김준성,메리츠증권
633641,2024-08-09,161390,한국타이어앤테크놀로지,"구름 걷고 광명 찾자 한국타이어앤테크놀로지(161390) 구름 걷고 광명 찾자 믹스 개선 싸이클 시작, 호실적 지속 호실적 누른 한온시스템 인수 결정, 해지 가능성 부상",75000,Buy,김준성,메리츠증권
633640,2024-08-09,263750,펄어비스,다가오는 모멘텀 vs. 펀더멘털 고민 펄어비스(263750) 다가오는 모멘텀 vs. 펀더멘털 고민 2분기 원화 약세 고려하면 아쉬웠던 기존 IP 성과 모멘텀 높아지나 펀더멘털 고민은 깊어져,40000,Hold,이효진,메리츠증권
633639,2024-08-09,112610,씨에스윈드,"2Q24 Review: 높은 변동성, 개선되는 방향성 씨에스윈드(112610) 2Q24 Review: 높은 변동성, 개선되는 방향성 Bladt OSS 사업 흑자 전환으로 대규모 이익 인식 하반기에도 단가 인상을 통한 수익성 개선 노력 이어질 전망",74000,Buy,문경원,메리츠증권
633638,2024-08-09,006800,미래에셋증권,"2Q24 Review: 우려는 축소되었으나… 미래에셋증권(006800) 2Q24 Review: 우려는 축소되었으나… 2Q24 지배주주순이익 1,987억원: 컨센서스 상회 본질적 ROE 개선 확인 필요",8500,Hold,조아해,메리츠증권
633635,2024-08-09,251270,넷마블,좋은 실적 vs. 빗겨간 컨셉 넷마블(251270) 좋은 실적 vs. 빗겨간 컨셉 2Q24 Review: 아스달/광고 서프+ 예상을 뛰어넘는 비용 타이트닝,58000,Hold,이효진,메리츠증권
633634,2024-08-09,225570,넥슨게임즈,"K-게임의 ‘웨스턴 드림’ 대장주 넥슨게임즈(225570) K-게임의 ‘웨스턴 드림’ 대장주 2분기 중요하지는 않지만 확인하자면 K-게임 ‘웨스턴 드림’의 선봉장, 넥슨게임즈의 성과 미리보기",0,Not Rated,이효진,메리츠증권
633633,2024-08-09,326030,SK바이오팜,2Q24 Review: 레버리지 효과 이제 시작 SK바이오팜(326030) 2Q24 Review: 레버리지 효과 이제 시작 2Q24 Review,120000,Buy,-,메리츠증권
633632,2024-08-08,352820,하이브,실적 아쉬우나 위버스 기대해볼만 하이브(352820) 실적 아쉬우나 위버스 기대해볼만 실적 아쉬우나 위버스 기대해볼만,270000,Buy,임수진,대신증권
633631,2024-08-08,041510,에스엠,점진적 실적 개선세 기대 에스엠(041510) 점진적 실적 개선세 기대 점진적 실적 개선세 기대,110000,Buy,임수진,하나증권
633629,2024-08-08,052690,한전기술,2Q24 Review: 반박할 수 없는 이익 성장 한전기술(052690) 2Q24 Review: 반박할 수 없는 이익 성장 일회성 요인에 따른 2Q24 실적 호조 + 기타손익 개선은 뜻밖의 성과,89000,Buy,문경원,메리츠증권
633628,2024-08-08,051600,한전KPS,2Q24 Review: 방향성보다는 안정성이 매력적 한전KPS(051600) 2Q24 Review: 방향성보다는 안정성이 매력적 원전 매출 2분기 집중으로 서프라이즈,52000,Buy,문경원,메리츠증권
633627,2024-08-08,323410,카카오뱅크,"2Q24 Review: 확인되고 있는 변화 카카오뱅크(323410) 2Q24 Review: 확인되고 있는 변화 2Q24 당기순이익 1,202억원: 컨센서스 상회",29000,Buy,조아해,메리츠증권
633626,2024-08-08,293490,카카오게임즈,반전을 기다리며 카카오게임즈(293490) 반전을 기다리며 신작에도 어려운 사업 환경,18000,Hold,이효진,메리츠증권
