idx,date,code,company,title,target,opinion,analyst,broker,price_at,price_h,ret_6m,mkt_ret_6m,excess_6m,target_acc,target_hit,upside_at_pub,acc180,acc180,acc365
646078,2026-01-27,011070,LG이노텍,25년 4분기 일회성 비용으로 부진 LG이노텍(011070) 25년 4분기 일회성 비용으로 부진 25년 4분기 일회성 비용으로 부진,350000,매수,김운호,IBK투자증권,257500.0,625000.0,1.4272,0.3158,1.1114,0.2143,1,0.3592,0.2143,0.2143,
646077,2026-01-27,006280,녹십자,"체질 개선 확인, 성장 옵션 확대 녹십자(006280) 체질 개선 확인, 성장 옵션 확대 체질 개선 확인, 성장 옵션 확대",220000,매수,정이수,IBK투자증권,172500.0,123700.0,-0.2829,0.3158,-0.5987,0.5623,0,0.2754,0.5623,0.5623,
646076,2026-01-27,439260,대한조선,4Q25 Pre: 다시 한번 최고 수익성 갱신 전망 대한조선(439260) 4Q25 Pre: 다시 한번 최고 수익성 갱신 전망 4Q25 Pre: 다시 한번 최고 수익성 갱신 전망,100000,매수,오지훈,IBK투자증권,73500.0,48900.0,-0.3347,0.3158,-0.6505,0.489,0,0.3605,0.489,0.489,
646075,2026-01-27,005180,빙그레,해태 합병으로 구조적 개선 가시화 빙그레(005180) 해태 합병으로 구조적 개선 가시화 해태 합병으로 구조적 개선 가시화,95000,매수,김태현,IBK투자증권,75100.0,66600.0,-0.1132,0.3158,-0.429,0.7011,0,0.265,0.7011,0.7011,
646069,2026-01-27,010950,S-Oil,26년 분기별 정제마진 방향성에 대한 고민 S-Oil(010950) 26년 분기별 정제마진 방향성에 대한 고민 26년 분기별 정제마진 방향성에 대한 고민,120000,Buy,"전유진,장호",iM증권,101500.0,151200.0,0.4897,0.3158,0.1739,0.74,1,0.1823,0.74,0.74,
646068,2026-01-27,011070,LG이노텍,아이폰 판매 호조와 기판 업사이드 LG이노텍(011070) 아이폰 판매 호조와 기판 업사이드 아이폰 판매 호조와 기판 업사이드,320000,Buy,고의영,iM증권,257500.0,625000.0,1.4272,0.3158,1.1114,0.0469,1,0.2427,0.0469,0.0469,
646067,2026-01-27,011070,LG이노텍,아이폰 판매 호조와 기판 업사이드 LG이노텍(011070) 아이폰 판매 호조와 기판 업사이드 아이폰 판매 호조와 기판 업사이드,320000,Buy,고의영,iM증권,257500.0,625000.0,1.4272,0.3158,1.1114,0.0469,1,0.2427,0.0469,0.0469,
646066,2026-01-27,353200,대덕전자,전사적으로 증설이 필요해지고 있음 대덕전자(353200) 전사적으로 증설이 필요해지고 있음 전사적으로 증설이 필요해지고 있음,71000,Buy,고의영,iM증권,50900.0,109500.0,1.1513,0.3158,0.8355,0.4577,1,0.3949,0.4577,0.4577,
646065,2026-01-27,041510,에스엠,중장기 성장 국면 진입의 분기점 에스엠(041510) 중장기 성장 국면 진입의 분기점 중장기 성장 국면 진입의 분기점,160000,Buy,황지원,iM증권,114100.0,69800.0,-0.3883,0.3158,-0.7041,0.4363,0,0.4023,0.4363,0.4363,
646061,2026-01-27,010950,S-Oil,OSP 하락 효과 확대되며 하반기 실적 개선 전망 S-Oil(010950) OSP 하락 효과 확대되며 하반기 실적 개선 전망 OSP 하락 효과 확대되며 하반기 실적 개선 전망,126000,Buy,황성현,유진투자증권,101500.0,151200.0,0.4897,0.3158,0.1739,0.8,1,0.2414,0.8,0.8,
646060,2026-01-27,218410,RFHIC,방산 믿고 통신에 건다 RFHIC(218410) 방산 믿고 통신에 건다 방산 믿고 통신에 건다,53000,Buy,이찬영,유진투자증권,41800.0,45050.0,0.0778,0.3158,-0.238,0.85,0,0.2679,0.85,0.85,
646059,2026-01-27,011070,LG이노텍,4Q25 Review: 비모바일 영역에서의 이익 기여 확대 LG이노텍(011070) 4Q25 Review: 비모바일 영역에서의 이익 기여 확대 4Q25 Review: 비모바일 영역에서의 이익 기여 확대,327000,Buy,이주형,유진투자증권,257500.0,625000.0,1.4272,0.3158,1.1114,0.0887,1,0.2699,0.0887,0.0887,
646058,2026-01-27,195870,해성디에스,4Q25 Review: 레버리지 구간 진입 해성디에스(195870) 4Q25 Review: 레버리지 구간 진입 4Q25 Review: 레버리지 구간 진입,82000,Buy,이주형,유진투자증권,58300.0,49500.0,-0.1509,0.3158,-0.4667,0.6037,0,0.4065,0.6037,0.6037,
646056,2026-01-27,042660,한화오션,4Q25 Preview: 이어지는 기대 한화오션(042660) 4Q25 Preview: 이어지는 기대 4Q25 Preview: 이어지는 기대,163000,Buy,이재혁,LS증권,140500.0,87900.0,-0.3744,0.3158,-0.6902,0.5393,0,0.1601,0.5393,0.5393,
646051,2026-01-26,028050,삼성E&A,포트폴리오 재구성이 의미하는 바 삼성E&A(028050) 포트폴리오 재구성이 의미하는 바 포트폴리오 재구성이 의미하는 바,35000,Buy,김진범,상상인증권,28850.0,47600.0,0.6499,0.3518,0.2982,0.64,1,0.2132,0.64,0.64,
646048,2026-01-26,028050,삼성E&A,나만 소외될 이유 없지 삼성E&A(028050) 나만 소외될 이유 없지 나만 소외될 이유 없지,37000,Buy,"송유림, 김예인",한화투자증권,28850.0,47600.0,0.6499,0.3518,0.2982,0.7135,1,0.2825,0.7135,0.7135,
646047,2026-01-26,189300,인텔리안테크,非 스타링크 진영에 대한 관심 확대 필요 인텔리안테크(189300) 非 스타링크 진영에 대한 관심 확대 필요 非 스타링크 진영에 대한 관심 확대 필요,98000,Buy,"배성조,김나우",한화투자증권,79400.0,60900.0,-0.233,0.3518,-0.5847,0.6214,0,0.2343,0.6214,0.6214,
646046,2026-01-26,181710,NHN,"증익을 기대하는 두가지, 클라우드와 웹보드 NHN(181710) 증익을 기대하는 두가지, 클라우드와 웹보드 증익을 기대하는 두가지, 클라우드와 웹보드",36000,Buy,"김소혜, 김나우",한화투자증권,32000.0,36400.0,0.1375,0.3518,-0.2143,0.9889,1,0.125,0.9889,0.9889,
