pair_id,label,company,code,date,target,opinion,analyst,broker,acc365,gap_days,acc_diff,idx,title
51,lo,넷마블,251270,2024-05-10,78000,매수,남효지,SK증권,0.6603,0,0.33,630988,같이 레벨업 하실래요? 넷마블(251270) 같이 레벨업 하실래요? 같이 레벨업 하실래요?
52,hi,에코프로비엠,247540,2024-08-01,135000,Sell,"정원석,손우성",하이투자증권,0.7948,0,0.328,633433,실적 추정치 하향으로 밸류에이션 부담 여전 에코프로비엠(247540) 실적 추정치 하향으로 밸류에이션 부담 여전 실적 추정치 하향으로 밸류에이션
52,lo,에코프로비엠,247540,2024-08-01,230000,Hold,노우호,메리츠증권,0.4665,0,0.328,633453,2Q24 Review: 한파를 견뎌야할 시기 에코프로비엠(247540) 2Q24 Review: 한파를 견뎌야할 시기 2Q24 Review: 한파
53,hi,유한양행,000100,2024-05-02,125000,Buy,이희영,대신증권,0.908,0,0.327,630636,"부진한 실적, 하지만 R&D 모멘텀은 유효 유한양행(000100) 부진한 실적, 하지만 R&D 모멘텀은 유효 부진한 실적, 하지만 R&D 모멘텀"
53,lo,유한양행,000100,2024-05-02,80000,Buy,이선경,IBK투자증권,0.5813,0,0.327,630658,"1Q24 Review: 아쉬운 실적, 기대되는 R&D 유한양행(000100) 1Q24 Review: 아쉬운 실적, 기대되는 R&D 24년 1분기"
54,hi,현대해상,001450,2024-11-15,32000,Hold,조아해,메리츠증권,0.9062,0,0.326,636702,"3Q24 Review: 변동성 국면 현대해상(001450) 3Q24 Review: 변동성 국면 3Q24 당기순이익 2,134억원: 컨센서스 하회"
54,lo,현대해상,001450,2024-11-15,50000,Buy,김도하,한화투자증권,0.58,0,0.326,636713,아직 넘어야 할 산이 많다 현대해상(001450) 아직 넘어야 할 산이 많다 아직 넘어야 할 산이 많다
55,hi,카카오뱅크,323410,2024-02-07,23000,Sell,김도하,한화투자증권,0.9783,0,0.325,627874,"견조한 성장과 축소되는 스프레드 카카오뱅크(323410) 견조한 성장과 축소되는 스프레드 4Q23 당기순이익 757억원(+25% YoY), 어닝"
55,lo,카카오뱅크,323410,2024-02-07,36000,Buy,박혜진,대신증권,0.6528,0,0.325,627842,대환은 카뱅이다! 카카오뱅크(323410) 대환은 카뱅이다! 대환은 카뱅이다!
56,hi,삼성전자,005930,2025-01-13,82000,매수,"김운호,강민구",IBK투자증권,0.322,4,0.322,638011,4분기 실적 예상치 하회. DS가 원인 삼성전자(005930) 4분기 실적 예상치 하회. DS가 원인 4분기 실적 예상치 하회. DS가 원인
56,lo,삼성전자,005930,2025-01-09,68000,Buy,"송명섭,손우성",iM증권,0.0,4,0.322,637921,여유를 가지고 저점 매수하는 전략 권고 삼성전자(005930) 여유를 가지고 저점 매수하는 전략 권고 여유를 가지고 저점 매수하는 전략 권고
57,hi,유한양행,000100,2024-05-02,110000,Buy,권해순,유진투자증권,0.9682,0,0.319,630697,2024.1Q 실적 Review : 부정과 긍정이 혼재 유한양행(000100) 2024.1Q 실적 Review : 부정과 긍정이 혼재 2024.
57,lo,유한양행,000100,2024-05-02,84000,Buy,장민환,하이투자증권,0.6488,0,0.319,630630,"1Q24 Review: 아쉽지만, 명확한 상저하고 유한양행(000100) 1Q24 Review: 아쉽지만, 명확한 상저하고 1Q24 Review"
58,hi,SK오션플랜트,100090,2024-08-16,20000,Buy,이주영,LS증권,0.99,0,0.317,633911,하반기에도 수주 탄탄 SK오션플랜트(100090) 하반기에도 수주 탄탄 하반기에도 수주 탄탄
58,lo,SK오션플랜트,100090,2024-08-16,30000,Buy,한병화,유진투자증권,0.6733,0,0.317,633932,국내외 수주 환경 크게 개선 SK오션플랜트(100090) 국내외 수주 환경 크게 개선 국내외 수주 환경 크게 개선
59,hi,현대해상,001450,2025-05-15,34000,Buy,김도하,한화투자증권,0.9809,0,0.315,641105,"최악의 구간을 통과 현대해상(001450) 최악의 구간을 통과 1Q25 별도 순이익 2,032억원(-57% YoY), 컨센서스 부합"
