label,analyst,broker,sector,award,both_awards,date,company,code,opinion,subtitle,target,price_then,pid
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-18,농심,004370,,예상 보다 견조한 수익성 시현,0,383000,822429
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-14,이마트,139480,,"양호한 영업이익 달성 불구, 지배주주순이익은 부진",0,79800,822114
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-14,삼양식품,003230,매수유지,여전한 초과 수요,1850000,1168000,822107
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-13,CJ제일제당,097950,매수유지,바이오 부문 중심의 수익성 반등 전망,310000,191400,821927
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-13,신세계,004170,매수유지,실적도 신세계,600000,423000,821925
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-12,롯데쇼핑,023530,매수유지,완벽한 부활,190000,117300,821731
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-11,CJ프레시웨이,051500,,온라인 사업 성장 드라이브 본격화,0,22550,821530
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-11,롯데웰푸드,280360,매수유지,수익성 반등 본격화,170000,103000,821520
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-08,케이티앤지,033780,,하반기에 발표될 배당 강화 정책에 주목,0,179100,821332
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-08,GS리테일,007070,매수유지,장사가 잘되요,30000,24750,821326
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-08,BGF리테일,282330,매수유지,핵심 지표는 굳건,170000,125000,821325
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-07,현대백화점,069960,매수유지,백화점이 하드 캐리,147000,118800,821078
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-05-06,롯데칠성음료,005300,매수유지,신제품 성과가 필요한 때,170000,101000,820893
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-04-22,CJ프레시웨이,051500,매수유지,1Q26 Preview,39000,22550,819366
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-04-22,롯데칠성음료,005300,매수유지,1Q26 Preview,170000,101000,819363
award_winner,박상준,키움증권,음식료·담배,한경,Y,2026-04-22,하이트진로,000080,매수유지,1Q26 Preview,23000,15400,819362
award_winner,김경환,하나증권,글로벌 투자전략(중국·신흥국),한경,,2021-04-02,아이큐어,175250,Not Rated,이제 시장의 눈은 본업을 바라보며..,0,2170,695879
award_winner,김경환,하나증권,글로벌 투자전략(중국·신흥국),한경,,2021-03-26,지노믹트리,228760,Not Rated,국내 검진 확대 및 중국 본계약 기대,0,11340,695510
