label,rank,score,company,code,subtitle,date,opinion,analyst,broker,target_price,price_then,pid
good,47,60,피에스케이,319660,장비 Top-pick 유지,2026-03-06,매수,이수림,DS투자증권,"81,000","129,600",816480
good,48,60,주성엔지니어링,036930,반도체가 끌고 태양전지가 민다,2026-02-12,매수,김동관,메리츠증권,"62,000","124,500",815369
good,49,60,대우건설,047040,2017년의 향기: 빅배스 이후 상승한 주가,2026-02-10,매수유지,김승준,하나증권,"8,000","12,780",814941
good,50,59,삼성전기,009150,기판 완판 다음은 판가 점프,2026-03-31,매수유지,박준서,미래에셋증권,"530,000","1,142,000",817536
good,51,58,피에스케이,319660,메모리와 함께 춤을,2026-02-04,매수유지,이민희,BNK투자증권,"70,000","129,600",814080
good,52,57,삼성전기,009150,"성장은 추세, 상승은 기세",2026-02-27,매수유지,조현지,DB증권,"570,000","1,142,000",816193
good,53,56,LG생활건강,051900,2026년 하반기 뷰티 산업 전망: 북미 퍼스널케어 성장에 주목,2026-06-09,보유,오린아,LS증권,"250,000","287,000",823954
good,54,56,LG생활건강,051900,2026년 하반기 뷰티 산업 전망,2026-06-09,보유,오린아,LS증권,"250,000","287,000",823952
good,55,52,삼성전기,009150,"서버가 바꾼 수급 방정식, P의 시작과 예고된 Q",2026-03-12,매수유지,고선영,유안타증권,"540,000","1,142,000",816707
good,56,52,대우건설,047040,원전주로서 포지셔닝 진행. 다음 단계는,2026-02-24,매수유지,"장문준,강민창",KB증권,"9,000","12,780",815952
good,57,51,삼성전기,009150,우리도 아직 2회말이에요,2026-04-03,매수유지,이주형,유진투자증권,"590,000","1,142,000",817780
good,58,51,삼성전기,009150,공급망 안정에 부과된 가격 프리미엄의 수혜,2026-03-31,매수유지,고선영,유안타증권,"550,000","1,142,000",817516
good,59,50,LG이노텍,011070,여전히 부담 없는 기회,2026-04-20,매수,양승수,메리츠증권,"430,000","514,000",819077
good,60,50,삼성전기,009150,화룡점정의 시간,2026-03-20,매수유지,김연미,다올투자증권,"600,000","1,142,000",817124
good,61,50,삼성전기,009150,새 술은 새 부대에,2026-03-06,매수,양승수,메리츠증권,"550,000","1,142,000",816493
good,62,50,대우건설,047040,"사자, 원전(Team Korea)을",2026-02-10,매수유지,조정현,IBK투자증권,"8,200","12,780",814934
good,63,50,SK텔레콤,017670,실적 회복과 주주환원 개선 의지를 보여 준 실적,2026-02-09,보유,김준섭,KB증권,"75,000","81,400",814711
good,64,50,주성엔지니어링,036930,차세대 태양광 기술과 미중분쟁 반사수혜,2026-02-05,매수유지,"고영민,김연미",다올투자증권,"60,000","124,500",814385
good,65,49,삼성전기,009150,돈 되는 수주만 골라 받을 수 있는 업황,2026-04-06,매수유지,고의영,iM증권,"600,000","1,142,000",817842
good,66,49,SK,034730,자사주 소각에 따른 재무적 효과 결국 주가에 반영 전망,2026-03-20,매수유지,"최정욱,정소영",하나증권,"400,000","557,000",817094
good,67,49,삼성전기,009150,"AI를 넘어, 우주로",2026-03-18,매수유지,"이창민,김연수",KB증권,"600,000","1,142,000",817009
good,68,48,SK하이닉스,000660,타이트한 메모리 수급 지속,2026-03-10,매수,신은정,DB증권,"1,100,000","1,718,000",816578
good,69,47,삼성전기,009150,확산되는 부품 Shortage,2026-04-07,매수유지,김운호,IBK투자증권,"600,000","1,142,000",817951
good,70,47,삼성전기,009150,‘MLCC 임베디드 PCB’의 미래,2026-04-03,매수유지,박형우,SK증권,"600,000","1,142,000",817786
good,71,47,삼성전기,009150,Split to Scale 결실의 주인,2026-03-26,매수유지,황지현,NH투자증권,"600,000","1,142,000",817359
good,72,47,서울반도체,046890,"[4Q25 Review] 4Q 흑전, 전장향 호조",2026-02-13,시장평균,"박강호,서지원",대신증권,"7,500","8,510",815532
good,73,46,금호건설,002990,공공주택 착공 증가 시 수혜,2026-03-06,매수,신대현,키움증권,"5,600","9,110",816489
good,74,45,SK이터닉스,475150,모든 사업 부문에서 이익 성장,2026-02-10,매수유지,"유재선,성무규",하나증권,"28,000","45,450",814975
good,75,44,현대해상,001450,1Q26 Preview,2026-04-21,보유,이병건,DB증권,"32,000","38,450",819236
good,76,43,삼성전기,009150,1Q26 Preview: 일회성 비용 제거 시 컨센상회,2026-03-24,매수유지,최보영,교보증권,"600,000","1,142,000",817224
good,77,43,삼성전기,009150,"북미 NV사와의 FC-BGA 연결고리, 구조적 진화 중",2026-03-23,매수,양승수,메리츠증권,"590,000","1,142,000",817180
good,78,42,삼성전기,009150,뚜렷해지는 장기 수요 가시성,2026-04-21,매수유지,"고의영,박정하",iM증권,"860,000","1,142,000",819198
good,79,42,삼성전기,009150,유일무이,2026-04-10,매수,양승수,메리츠증권,"700,000","1,142,000",818387
good,80,42,LG이노텍,011070,"1Q 서프라이즈, 여기도 기판이 완판",2026-03-25,매수,양승수,메리츠증권,"360,000","514,000",817310
